Processes,Threads,Width,Height,NumSpheres,NumSamples,RenderType,MinTime,MaxTime,AvgTime
1,1,512,512,100,10,row,8.65594,8.65594,8.65594
1,1,512,512,100,10,row,8.71103,8.71103,8.71103
1,1,512,512,100,10,row,8.73285,8.73285,8.73285
1,1,512,512,100,10,row,8.75108,8.75108,8.75108
1,1,512,512,100,10,row,8.62743,8.62743,8.62743
1,1,512,512,100,10,row,8.5852,8.5852,8.5852
1,1,512,512,100,10,row,8.60467,8.60467,8.60467
1,1,512,512,100,10,row,8.41468,8.41468,8.41468
1,1,512,512,100,10,row,8.44119,8.44119,8.44119
1,1,512,512,100,10,row,8.54356,8.54356,8.54356
1,1,512,512,100,10,row,8.01609,8.01609,8.01609
1,1,512,512,100,10,row,8.05895,8.05895,8.05895
1,2,512,512,100,10,row,4.37946,5.74217,5.06082
1,2,512,512,100,10,row,4.3341,5.81576,5.07493
1,2,512,512,100,10,row,4.39244,5.82314,5.10779
1,2,512,512,100,10,row,4.60695,5.62451,5.11573
1,2,512,512,100,10,row,4.53555,5.67422,5.10489
1,2,512,512,100,10,row,4.51964,5.81112,5.16538
1,2,512,512,100,10,row,4.50667,5.65995,5.08331
1,2,512,512,100,10,row,4.33502,5.78681,5.06092
1,2,512,512,100,10,row,4.49409,5.81601,5.15505
1,2,512,512,100,10,row,4.46886,5.54213,5.0055
1,2,512,512,100,10,row,4.43651,5.64099,5.03875
1,2,512,512,100,10,row,4.50574,5.68798,5.09686
1,2,512,512,100,10,row,4.44654,5.70079,5.07366
1,2,512,512,100,10,row,4.50708,5.83307,5.17007
1,2,512,512,100,10,row,4.42742,5.86169,5.14455
1,2,512,512,100,10,row,4.63594,5.82582,5.23088
1,2,512,512,100,10,row,4.39389,5.71112,5.0525
1,2,512,512,100,10,row,4.42591,5.80067,5.11329
1,2,512,512,100,10,row,3.95378,5.14857,4.55118
1,2,512,512,100,10,row,3.96894,5.1277,4.54832
1,4,512,512,100,10,row,2.85069,4.65155,4.17765
1,4,512,512,100,10,row,2.85061,4.69931,4.14011
1,4,512,512,100,10,row,2.85573,4.93012,4.23728
1,4,512,512,100,10,row,2.78189,4.76069,4.16282
1,4,512,512,100,10,row,2.85486,4.85796,4.25961
1,4,512,512,100,10,row,2.84242,4.77341,4.2148
1,4,512,512,100,10,row,3.02666,4.73549,4.24761
1,4,512,512,100,10,row,2.89268,4.80913,4.1521
1,4,512,512,100,10,row,2.89825,4.71266,4.19959
1,4,512,512,100,10,row,2.80432,4.71426,4.13804
1,4,512,512,100,10,row,2.9199,4.68675,4.17638
1,4,512,512,100,10,row,2.87478,4.74786,4.23092
1,4,512,512,100,10,row,3.0308,4.75992,4.24881
1,4,512,512,100,10,row,2.92354,4.59172,4.11536
1,4,512,512,100,10,row,2.91024,4.86034,4.26174
1,4,512,512,100,10,row,3.18874,4.7341,4.26133
1,4,512,512,100,10,row,2.92276,4.97433,4.33427
1,4,512,512,100,10,row,2.93144,4.79904,4.20208
1,4,512,512,100,10,row,2.24151,3.66699,3.24242
1,4,512,512,100,10,row,2.24698,3.42555,3.10391
1,8,512,512,100,10,row,3.1166,4.58491,3.83621
1,8,512,512,100,10,row,3.03247,4.75248,3.90455
1,8,512,512,100,10,row,3.07184,4.87005,3.90473
1,8,512,512,100,10,row,2.26108,4.70563,3.88369
1,8,512,512,100,10,row,2.41811,4.5727,3.94894
1,8,512,512,100,10,row,2.43356,4.68875,4.007
1,8,512,512,100,10,row,1.70528,4.71771,3.76213
1,8,512,512,100,10,row,2.70527,4.59445,3.88146
1,8,512,512,100,10,row,2.73069,4.79509,3.88411
1,8,512,512,100,10,row,2.99322,4.34494,3.67476
1,8,512,512,100,10,row,2.86298,4.88944,3.84616
1,8,512,512,100,10,row,2.83241,4.98398,3.84903
1,8,512,512,100,10,row,2.64597,4.84538,3.69815
1,8,512,512,100,10,row,2.96722,4.43906,3.7092
1,8,512,512,100,10,row,2.92861,4.86476,3.96482
1,8,512,512,100,10,row,1.80621,4.8367,3.7506
1,8,512,512,100,10,row,2.99092,4.57393,3.80469
1,8,512,512,100,10,row,2.92522,4.76723,3.87995
1,8,512,512,100,10,row,1.646,3.17447,2.76572
1,8,512,512,100,10,row,1.68303,3.23035,2.78431
1,12,512,512,100,10,row,1.26322,4.51556,3.60576
1,12,512,512,100,10,row,1.20339,4.60277,3.71733
1,12,512,512,100,10,row,1.27015,4.65777,3.65355
1,12,512,512,100,10,row,1.7706,4.60194,3.95966
1,12,512,512,100,10,row,1.74978,4.5753,3.96993
1,12,512,512,100,10,row,1.70953,4.74404,4.05343
1,12,512,512,100,10,row,1.39444,4.73443,3.64621
