Processes,Width,Height,NumSpheres,NumSamples,RenderType,MinTime,MaxTime,AvgTime
8,512,512,400,20,row,3.71286,8.81275,7.24931
8,512,512,400,20,row,4.1559,9.23938,7.72173
8,512,512,400,20,row,3.78546,8.78844,7.24743
8,512,512,400,20,row,3.79286,8.84618,7.33462
8,512,512,400,20,row,3.67298,8.77456,7.27579
8,512,512,200,40,row,3.88605,10.2645,8.04403
8,512,512,200,40,row,3.82036,9.93269,7.74304
8,512,512,200,40,row,3.88093,9.96757,7.71722
8,512,512,200,40,row,4.32514,10.5607,8.37962
8,512,512,200,40,row,3.81047,9.89034,7.74646
8,512,512,200,40,row,3.76879,9.96729,7.74413
8,512,512,200,40,row,3.82168,10.1303,7.84494
8,512,512,200,40,row,3.77973,10.0052,7.73933
8,512,512,200,40,row,3.94671,10.0711,7.81324
8,512,512,200,40,row,3.78167,10.0634,7.79829
8,512,512,200,40,row,3.90965,9.99866,7.789
8,512,512,200,40,row,4.10995,10.4653,8.19595
8,512,512,200,40,row,3.82183,9.97966,7.79667
8,512,512,200,40,row,3.90884,10.043,7.87098
8,512,512,200,40,row,3.8948,9.97618,7.84299
8,512,512,200,40,row,3.96857,10.0762,7.88263
8,512,512,200,40,row,3.80852,9.93534,7.77993
8,512,512,200,40,row,3.93637,10.1268,7.88615
8,512,512,200,40,row,3.89856,10.0757,7.81792
8,512,512,200,40,row,3.9469,10.2198,7.91411
1,512,512,200,20,col,17.444,17.444,17.444
1,512,512,200,20,col,17.2662,17.2662,17.2662
1,512,512,200,20,col,17.4673,17.4673,17.4673
1,512,512,200,20,col,17.6093,17.6093,17.6093
1,512,512,200,20,col,17.125,17.125,17.125
1,512,512,200,20,col,17.3028,17.3028,17.3028
1,512,512,200,20,col,17.3107,17.3107,17.3107
1,512,512,200,20,col,17.483,17.483,17.483
1,512,512,200,20,col,17.3787,17.3787,17.3787
1,512,512,200,20,col,17.0417,17.0417,17.0417
1,512,512,200,20,col,16.979,16.979,16.979
1,512,512,200,20,col,17.0231,17.0231,17.0231
1,512,512,200,20,col,16.9046,16.9046,16.9046
1,512,512,200,20,col,16.8707,16.8707,16.8707
1,512,512,200,20,col,17.0356,17.0356,17.0356
1,512,512,200,20,col,17.0732,17.0732,17.0732
1,512,512,200,20,col,16.9132,16.9132,16.9132
1,512,512,200,20,col,17.2063,17.2063,17.2063
1,512,512,200,20,col,17.1214,17.1214,17.1214
1,512,512,200,20,col,16.8286,16.8286,16.8286
2,512,512,200,20,col,8.76862,9.36163,9.06512
2,512,512,200,20,col,8.51999,9.12523,8.82261
2,512,512,200,20,col,8.55508,9.16885,8.86196
2,512,512,200,20,col,8.57928,9.16381,8.87155
2,512,512,200,20,col,8.50843,9.1599,8.83416
2,512,512,200,20,col,8.51008,9.12455,8.81731
2,512,512,200,20,col,8.48652,9.08037,8.78344
2,512,512,200,20,col,8.57299,9.15657,8.86478
2,512,512,200,20,col,8.51848,9.10967,8.81407
2,512,512,200,20,col,8.59553,9.28907,8.9423
2,512,512,200,20,col,8.57639,9.19474,8.88557
2,512,512,200,20,col,8.58394,9.23542,8.90968
2,512,512,200,20,col,8.8237,9.39074,9.10722
2,512,512,200,20,col,8.51882,9.15866,8.83874
2,512,512,200,20,col,8.48042,9.16494,8.82268
2,512,512,200,20,col,8.68906,9.33142,9.01024
2,512,512,200,20,col,8.56821,9.23034,8.89927
2,512,512,200,20,col,8.57962,9.19336,8.88649
2,512,512,200,20,col,8.55903,9.18082,8.86993
2,512,512,200,20,col,8.55542,9.21779,8.8866
4,512,512,200,20,col,4.73834,6.05597,5.57542
4,512,512,200,20,col,4.6837,5.933,5.48061
4,512,512,200,20,col,4.65227,5.91316,5.44037
4,512,512,200,20,col,4.66174,5.95772,5.47333
4,512,512,200,20,col,4.68242,5.98388,5.51602
4,512,512,200,20,col,4.81066,6.25404,5.70013
4,512,512,200,20,col,4.79727,6.09413,5.58531
4,512,512,200,20,col,4.74979,6.05494,5.54623
4,512,512,200,20,col,4.8283,6.11616,5.62226
4,512,512,200,20,col,4.79652,6.1463,5.59586
4,512,512,200,20,col,4.83171,6.1342,5.62557
4,512,512,200,20,col,4.81695,6.10111,5.62307
4,512,512,200,20,col,4.73279,6.06878,5.57697
4,512,512,200,20,col,4.76731,6.12159,5.55539
4,512,512,200,20,col,4.87765,6.2137,5.75198
4,512,512,200,20,col,4.97415,6.19496,5.6987
4,512,512,200,20,col,4.85396,6.27913,5.7487
4,512,512,200,20,col,5.17176,6.59834,6.04818
4,512,512,200,20,col,5.20208,6.6898,6.16008
4,512,512,200,20,col,5.38059,6.78064,6.26399
8,512,512,200,20,col,3.59063,4.8907,4.33104
8,512,512,200,20,col,3.55848,4.82253,4.28787
8,512,512,200,20,col,3.2716,4.51969,3.98855
8,512,512,200,20,col,3.25881,4.52404,3.96309
8,512,512,200,20,col,3.37771,4.54354,4.05313
8,512,512,200,20,col,3.27121,4.55219,3.95653
8,512,512,200,20,col,3.28489,4.55959,3.9892
8,512,512,200,20,col,3.28183,4.55591,3.98077
8,512,512,200,20,col,3.29037,4.62719,4.03745
8,512,512,200,20,col,3.46855,4.69481,4.13561
8,512,512,200,20,col,3.34546,4.54796,3.98625
8,512,512,200,20,col,3.34476,4.61964,4.04332
8,512,512,200,20,col,3.35653,4.62542,4.06416
8,512,512,200,20,col,3.35144,4.51176,3.97757
8,512,512,200,20,col,3.27085,4.58364,3.98163
8,512,512,200,20,col,3.29702,4.53404,3.99775
8,512,512,200,20,col,3.36414,4.59073,4.0046
8,512,512,200,20,col,3.31619,4.5556,4.01539
8,512,512,200,20,col,3.28684,4.51989,3.97285
8,512,512,200,20,col,3.29984,4.50476,4.00225
8,1024,1024,200,20,col,14.6907,19.4721,16.932
8,1024,1024,200,20,col,14.7787,19.8485,17.1315
8,1024,1024,200,20,col,15.0531,19.7468,17.1618
8,1024,1024,200,20,col,14.9816,20.0394,17.3186
8,1024,1024,200,20,col,15.5419,20.4168,17.8238
8,1024,1024,200,20,col,15.347,20.1582,17.6457
8,1024,1024,200,20,col,14.271,19.098,16.4536
8,1024,1024,200,20,col,13.5326,18.3159,15.7349
8,1024,1024,200,20,col,12.8453,17.4868,15.0837
8,1024,1024,200,20,col,12.645,18.2648,15.1337
8,1024,1024,200,20,col,12.562,16.8922,14.2879
8,1024,1024,200,20,col,12.3091,17.0267,13.9669
8,1024,1024,200,20,col,12.1987,16.4816,14.0589
8,1024,1024,200,20,col,11.6068,16.7787,14.0492
8,1024,1024,200,20,col,12.5766,16.8567,13.9706
8,1024,1024,200,20,col,12.1864,16.6795,13.9505
8,1024,1024,200,20,col,12.1785,17.0096,13.8404
8,1024,1024,200,20,col,11.5154,15.5864,13.7331
8,1024,1024,200,20,col,12.8092,17.1648,14.9396
8,1024,1024,200,20,col,11.6908,16.7726,13.9504
8,512,512,400,20,col,5.57507,8.42475,6.72828
8,512,512,400,20,col,5.00165,7.96448,6.62246
8,512,512,400,20,col,5.06196,8.34832,6.69774
8,512,512,400,20,col,5.86712,8.37813,6.877
8,512,512,400,20,col,6.01807,7.92721,6.82986
8,512,512,400,20,col,5.63123,8.13489,6.70654
8,512,512,400,20,col,5.6443,9.32834,7.8122
8,512,512,400,20,col,6.59273,8.93628,7.50319
8,512,512,400,20,col,6.2944,8.78642,7.35782
8,512,512,400,20,col,5.90856,8.67773,7.31465
8,512,512,400,20,col,6.43547,8.86569,7.32826
8,512,512,400,20,col,6.53856,9.03286,7.62508
8,512,512,400,20,col,6.14453,8.40971,7.06564
8,512,512,400,20,col,5.57156,8.98529,6.96845
8,512,512,400,20,col,5.62776,8.67759,7.19405
8,512,512,400,20,col,6.18892,8.65958,7.18794
8,512,512,400,20,col,6.11474,8.64318,7.23432
8,512,512,400,20,col,5.85705,9.07271,7.24679
8,512,512,400,20,col,6.32208,8.24467,7.2548
8,512,512,400,20,col,6.06177,8.68193,7.01781
8,512,512,200,40,col,5.28525,7.28568,6.26132
8,512,512,200,40,col,6.01536,8.24886,7.17029
8,512,512,200,40,col,6.84826,8.42721,7.55577
8,512,512,200,40,col,5.92011,7.79973,6.77687
8,512,512,200,40,col,5.58596,7.63298,6.61669
8,512,512,200,40,col,6.06345,7.68605,6.82956
8,512,512,200,40,col,5.73056,7.62704,6.79274
8,512,512,200,40,col,6.13241,7.60218,6.77406
8,512,512,200,40,col,5.94631,7.71195,6.76464
8,512,512,200,40,col,5.69706,7.66022,6.75253
8,512,512,200,40,col,6.55626,8.16634,7.30648
8,512,512,200,40,col,5.95741,7.97362,6.85387
8,512,512,200,40,col,6.41055,7.99623,7.17384
8,512,512,200,40,col,5.86256,7.76832,6.85775
8,512,512,200,40,col,5.57041,7.66261,6.7007
8,512,512,200,40,col,5.93746,7.77232,6.86125
8,512,512,200,40,col,6.06268,7.70232,6.92153
8,512,512,200,40,col,6.45762,7.77675,6.91919
8,512,512,200,40,col,5.85248,7.84583,6.80243
8,512,512,200,40,col,5.90088,7.46099,6.67446
